Name,%,Price,Rating,Ends in,Started,Release
Inscryption,-64%,"R$ 28,97",95.54%,in 6 days,8 days ago,Oct 2021
Metal: Hellsinger,-50%,"R$ 49,99",94.19%,in 6 days,8 days ago,Sep 2022
NEEDY STREAMER OVERLOAD,-50%,"R$ 15,49",93.15%,in 6 days,18 days ago,Jan 2022
OCTOPATH TRAVELER II,-53%,"R$ 202,91",93.04%,in 6 days,8 days ago,Feb 2023
ENDER LILIES: Quietus of the Knights,-50%,"R$ 24,74",92.53%,in 6 days,18 days ago,Jun 2021
Sonic Frontiers,-50%,"R$ 124,50",91.16%,in 6 days,8 days ago,Nov 2022
Ghostrunner,-70%,"R$ 29,70",90.00%,in 6 days,22 days ago,Oct 2020
Hatsune Miku: Project DIVA Mega Mix+,-50%,"R$ 107,47",89.91%,in 6 days,8 days ago,May 2022
LEGO® Star Wars™: The Skywalker Saga,-67%,"R$ 65,99",89.90%,in 6 days,8 days ago,Apr 2022
Kena: Bridge of Spirits,-60%,"R$ 63,96",89.70%,in 6 days,8 days ago,Sep 2022
Metro Exodus,-80%,"R$ 11,20",87.82%,in 6 days,8 days ago,Feb 2019
Tales of Arise,-60%,"R$ 97,00",87.74%,in 6 days,8 days ago,Sep 2021
Forza Horizon 5,-50%,"R$ 124,50",86.90%,in 6 days,22 days ago,Nov 2021
High On Life,-50%,"R$ 54,99",86.56%,in 6 days,8 days ago,Dec 2022
DiRT Rally 2.0,-80%,"R$ 9,49",85.38%,in 6 days,8 days ago,Feb 2019
Songs of Conquest,-50%,"R$ 28,99",85.13%,in 6 days,8 days ago,May 2022
MONSTER HUNTER RISE,-60%,"R$ 55,96",85.11%,in 6 days,8 days ago,Jan 2022
AI: THE SOMNIUM FILES - nirvanA Initiative,-60%,"R$ 72,80",85.10%,in 6 days,8 days ago,Jun 2022
Age of Empires IV: Anniversary Edition,-50%,"R$ 49,99",85.08%,in 6 days,8 days ago,Oct 2021
Remnant: From the Ashes,-65%,"R$ 26,42",83.58%,in 6 days,15 days ago,Aug 2019
Wasteland 3,-80%,"R$ 15,09",82.41%,in 6 days,8 days ago,Aug 2020
Sniper Ghost Warrior Contracts 2,-75%,"R$ 32,47",82.32%,in 6 days,8 days ago,Jun 2021
The Crew™ 2,-90%,"R$ 14,99",80.04%,in 6 days,8 days ago,Jun 2018
Marvel's Midnight Suns,-60%,"R$ 119,96",78.03%,in 6 days,8 days ago,Dec 2022
Sherlock Holmes Chapter One,-70%,"R$ 50,70",76.59%,in 6 days,8 days ago,Nov 2021
The Quarry,-67%,"R$ 115,46",76.28%,in 6 days,8 days ago,Jun 2022
Weird West: Definitive Edition,-75%,"R$ 24,99",75.60%,in 6 days,8 days ago,Mar 2022
Tiny Tina's Wonderlands,-67%,"R$ 98,96",75.56%,in 6 days,8 days ago,Jun 2022
DEATHLOOP,-75%,"R$ 62,48",75.26%,in 6 days,8 days ago,Sep 2021
Tribes of Midgard,-66%,"R$ 13,59",74.91%,in 6 days,15 days ago,Jul 2021
Riders Republic,-75%,"R$ 62,47",74.34%,in 6 days,29 days ago,Jun 2023
Knights of Honor II: Sovereign,-50%,"R$ 60,99",73.78%,in 6 days,8 days ago,Dec 2022
Evil West,-50%,"R$ 84,95",73.17%,in 6 days,15 days ago,Nov 2022
Way of the Hunter,-50%,"R$ 37,50",73.04%,in 6 days,8 days ago,Aug 2022
FOR HONOR™,-80%,"R$ 8,99",68.61%,in 6 days,8 days ago,Feb 2017
Far Cry® 6,-75%,"R$ 62,49",66.27%,in 6 days,8 days ago,May 2023
Marvel's Avengers - The Definitive Edition,-85%,"R$ 20,09",65.93%,in 6 days,15 days ago,Sep 2020
Back 4 Blood,-80%,"R$ 55,99",64.90%,in 6 days,8 days ago,Oct 2021
The Callisto Protocol™,-50%,"R$ 124,50",61.21%,in 6 days,8 days ago,Dec 2022
Firework,-50%,"R$ 10,34",95.94%,in 6 days,8 days ago,Feb 2021
The Room,-90%,"R$ 1,04",95.49%,in 6 days,8 days ago,Jul 2014
The Room Two,-90%,"R$ 1,04",95.21%,in 6 days,8 days ago,Jul 2016
Unheard - Voices of Crime,-60%,"R$ 9,20",94.37%,in 6 days,15 days ago,Mar 2019
Marco & The Galaxy Dragon,-70%,"R$ 16,37",94.18%,in 6 days,8 days ago,Feb 2020
Bugsnax,-66%,"R$ 16,14",93.75%,in 6 days,8 days ago,Apr 2022
The Rewinder,-50%,"R$ 20,99",93.50%,in 6 days,8 days ago,Sep 2021
The Walking Dead: The Telltale Definitive Series,-74%,"R$ 74,69",93.33%,in 6 days,8 days ago,Oct 2020
POSTAL: Brain Damaged,-66%,"R$ 27,29",92.99%,in 6 days,8 days ago,Jun 2022
TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,-68%,"R$ 10,67",92.88%,in 6 days,8 days ago,Mar 2019
Borderlands 2,-75%,"R$ 11,24",92.79%,in 6 days,8 days ago,Sep 2012
Bloodstained: Ritual of the Night,-70%,"R$ 22,64",92.65%,in 6 days,15 days ago,Jun 2019
Poly Bridge 2,-83%,"R$ 8,60",92.34%,in 6 days,8 days ago,May 2020
Pilgrims,-75%,"R$ 3,49",92.21%,in 6 days,8 days ago,Oct 2019
The Coma 2: Vicious Sisters,-80%,"R$ 5,79",91.72%,in 6 days,20 days ago,Jan 2020
Klonoa Phantasy Reverie Series,-50%,"R$ 99,95",91.42%,in 6 days,8 days ago,Jul 2022
Bendy and the Dark Revival,-80%,"R$ 11,59",91.41%,in 6 days,8 days ago,Nov 2022
Death's Door,-60%,"R$ 23,99",91.21%,in 6 days,8 days ago,Jul 2021
SteamWorld Heist,-90%,"R$ 2,89",90.76%,in 6 days,20 days ago,Jun 2016
Chicken Police - Paint it RED!,-60%,"R$ 15,99",90.73%,in 6 days,8 days ago,Nov 2020
SteamWorld Dig,-90%,"R$ 2,06",90.61%,in 6 days,20 days ago,Dec 2013
Endling - Extinction is Forever,-50%,"R$ 28,99",90.52%,in 6 days,8 days ago,Jul 2022
LOVE³ -Love Cube-,-75%,"R$ 5,17",90.31%,in 6 days,8 days ago,Jul 2019
Shotgun Farmers,-60%,"R$ 7,99",90.29%,in 6 days,8 days ago,Mar 2019
Buddy Simulator 1984,-60%,"R$ 7,99",90.14%,in 6 days,8 days ago,Feb 2021
IRMÃO Grande & Brasileiro 2,-70%,"R$ 5,99",90.13%,in 6 days,8 days ago,Oct 2021
McPixel 3,-80%,"R$ 6,59",90.11%,in 6 days,8 days ago,Nov 2022
Little Noah: Scion of Paradise,-50%,"R$ 14,49",90.06%,in 6 days,8 days ago,Jun 2022
Freedom Fighters,-80%,"R$ 5,79",90.05%,8 days ago,,
Consummate:Missing World 寇莎梅特：困世迷情,-72%,"R$ 0,97",89.88%,in 6 days,8 days ago,Jul 2017
"Peace, Death! 2",-70%,"R$ 2,99",89.88%,in 6 days,8 days ago,Oct 2021
PLAYNE : The Meditation Game,-80%,"R$ 9,39",89.83%,in 6 days,8 days ago,May 2020
Subnautica: Below Zero,-67%,"R$ 19,13",89.81%,in 6 days,8 days ago,May 2021
Distance,-80%,"R$ 9,49",89.79%,in 6 days,8 days ago,Sep 2018
Zueirama,-75%,"R$ 4,24",89.75%,in 6 days,8 days ago,Aug 2019
Wolf Tails,-65%,"R$ 7,24",89.68%,in 6 days,8 days ago,May 2018
Hellblade: Senua's Sacrifice,-85%,"R$ 8,39",89.56%,in 6 days,8 days ago,Aug 2017
UnderMine,-75%,"R$ 9,49",89.50%,in 6 days,8 days ago,Aug 2020
Shady Part of Me,-75%,"R$ 13,72",89.50%,in 6 days,8 days ago,Dec 2020
Wytchwood,-70%,"R$ 11,39",89.50%,in 6 days,8 days ago,Dec 2021
Pronty,-50%,"R$ 29,99",89.50%,in 6 days,8 days ago,Nov 2021
THE CORRIDOR,-58%,"R$ 1,88",89.48%,in 6 days,8 days ago,Dec 2020
CHAOS;CHILD,-60%,"R$ 18,99",89.42%,in 6 days,8 days ago,Jan 2019
Dōkyūsei: Bangin' Summer,-50%,"R$ 18,99",89.38%,in 6 days,8 days ago,Apr 2022
Monobeno,-70%,"R$ 14,24",89.25%,in 6 days,8 days ago,Jan 2018
Half-Life: Alyx - Final Hours,-80%,"R$ 4,13",89.11%,in 6 days,8 days ago,Jul 2020
Pumpkin Jack,-70%,"R$ 17,39",89.05%,in 6 days,20 days ago,Oct 2020
Koi Farm,-60%,"R$ 2,59",89.02%,in 6 days,8 days ago,Feb 2021
Samurai Gunn 2,-66%,"R$ 18,38",88.90%,in 6 days,8 days ago,Jul 2021
DRAGON QUEST BUILDERS™ 2,-50%,"R$ 99,95",88.90%,in 6 days,8 days ago,Dec 2019
Lacuna – A Sci-Fi Noir Adventure,-75%,"R$ 7,74",88.79%,in 6 days,20 days ago,May 2021
I hate this game,-53%,"R$ 2,11",88.79%,in 6 days,8 days ago,Mar 2019
Persona® 5 Strikers,-67%,"R$ 82,17",88.66%,in 6 days,8 days ago,Feb 2021
FIGHT KNIGHT,-60%,"R$ 15,19",88.58%,in 6 days,8 days ago,Nov 2021
Slipways,-50%,"R$ 16,49",88.55%,in 6 days,8 days ago,Jun 2021
Levelhead: Platformer Maker,-80%,"R$ 7,59",88.43%,in 6 days,8 days ago,Apr 2020
港詭實錄ParanormalHK,-50%,"R$ 16,94",88.39%,in 6 days,8 days ago,Jan 2020
Bridge Constructor Portal,-90%,"R$ 2,06",88.38%,in 6 days,20 days ago,Dec 2017
Who Needs a Hero?,-80%,"R$ 1,29",88.25%,in 6 days,8 days ago,Jan 2021
The Entropy Centre,-50%,"R$ 27,49",88.24%,in 6 days,8 days ago,Nov 2022
奇迹一刻 Surmount,-60%,"R$ 17,59",88.15%,in 6 days,8 days ago,Feb 2022
The Artful Escape,-50%,"R$ 24,99",88.12%,in 6 days,8 days ago,Sep 2021
Metro: Last Light Redux,-85%,"R$ 5,54",88.02%,in 6 days,8 days ago,Aug 2014
A Juggler's Tale,-70%,"R$ 10,49",88.02%,in 6 days,8 days ago,Sep 2021
SpongeBob SquarePants: The Cosmic Shake,-50%,"R$ 53,99",87.94%,in 6 days,8 days ago,Jan 2023
Sky Rogue,-81%,"R$ 8,79",87.93%,in 6 days,8 days ago,Aug 2017
Metro 2033 Redux,-90%,"R$ 3,69",87.86%,in 6 days,8 days ago,Aug 2014
She Will Punish Them,-50%,"R$ 15,49",87.75%,in 6 days,8 days ago,Apr 2020
Soda Drinker Pro,-73%,"R$ 2,83",87.69%,in 6 days,8 days ago,Apr 2016
Lonely Mountains: Downhill,-60%,"R$ 14,79",87.69%,in 6 days,20 days ago,Oct 2019
Polda 7,-50%,"R$ 17,49",87.60%,in 6 days,8 days ago,Apr 2022
Rift Wizard,-50%,"R$ 14,49",87.57%,in 6 days,8 days ago,Sep 2021
Hooked on You: A Dead by Daylight Dating Sim™,-50%,"R$ 12,49",87.50%,in 6 days,8 days ago,Aug 2022
Space Beast Terror Fright,-54%,"R$ 12,87",87.16%,in 6 days,8 days ago,Jun 2022
Atelier Ryza 2: Lost Legends & the Secret Fairy,-50%,"R$ 149,50",87.15%,in 6 days,11 days ago,Jan 2021
Wanba Warriors,-59%,"R$ 5,19",87.14%,in 6 days,8 days ago,Mar 2020
Spirit Island,-50%,"R$ 23,74",87.14%,in 6 days,8 days ago,Jul 2020
OlliOlli World,-50%,"R$ 35,00",86.86%,in 6 days,8 days ago,Feb 2022
Swaying Girl,-70%,"R$ 1,04",86.75%,in 6 days,8 days ago,Nov 2020
Garden Story,-60%,"R$ 15,19",86.62%,in 6 days,8 days ago,Aug 2021
Forgotton Anne,-80%,"R$ 7,59",86.43%,in 6 days,8 days ago,May 2018
No Straight Roads: Encore Edition,-50%,"R$ 23,74",86.34%,in 6 days,8 days ago,Oct 2021
The Pathless,-60%,"R$ 35,99",86.32%,in 6 days,8 days ago,Nov 2021
Happy Game,-55%,"R$ 13,12",86.26%,in 6 days,8 days ago,Oct 2021
TrymenT ―Ima o Kaetai to Negau Anata e― AlphA,-63%,"R$ 32,55",86.11%,in 6 days,8 days ago,Feb 2020
SurrounDead,-50%,"R$ 19,24",85.97%,in 6 days,8 days ago,Jun 2022
Curious Expedition 2,-55%,"R$ 17,09",85.95%,in 6 days,20 days ago,Jan 2021
Lost Ruins,-50%,"R$ 18,99",85.61%,in 6 days,8 days ago,May 2021
The Inner World,-90%,"R$ 2,49",85.60%,in 6 days,20 days ago,Sep 2013
Agrou,-75%,"R$ 2,72",85.59%,in 6 days,3 days ago,Jul 2020
Crashlands,-80%,"R$ 5,79",85.48%,in 6 days,8 days ago,Jan 2016
Drug Dealer Simulator,-76%,"R$ 9,11",85.33%,in 6 days,8 days ago,Apr 2020
Hentai Vs Furries,-70%,"R$ 0,68",85.29%,in 6 days,8 days ago,Jan 2020
月球坠落时 Moon Fall,-60%,"R$ 11,59",85.13%,in 6 days,8 days ago,Aug 2020
The Dark Pictures Anthology: House of Ashes,-50%,"R$ 63,72",85.12%,in 6 days,8 days ago,Oct 2021
Shantae and the Seven Sirens,-50%,"R$ 28,99",85.11%,in 6 days,8 days ago,May 2020
Space Haven,-60%,"R$ 18,39",84.74%,in 6 days,12 days ago,May 2020
oO,-60%,"R$ 0,87",84.71%,in 6 days,8 days ago,May 2015
AI War 2,-75%,"R$ 9,49",84.39%,in 6 days,8 days ago,Oct 2019
Rubber Bandits,-67%,"R$ 8,24",84.23%,in 6 days,8 days ago,Dec 2021
Shin Megami Tensei III Nocturne HD Remaster,-65%,"R$ 87,32",84.17%,in 6 days,8 days ago,May 2021
Say No! More,-70%,"R$ 8,69",84.11%,in 6 days,20 days ago,Apr 2021
Crumble,-60%,"R$ 11,59",84.07%,in 6 days,8 days ago,Dec 2020
SteamWorld Quest: Hand of Gilgamech,-80%,"R$ 9,49",83.87%,in 6 days,20 days ago,May 2019
Wet Girl,-70%,"R$ 1,04",83.86%,in 6 days,8 days ago,Jan 2019
Doctor Who: The Lonely Assassins,-66%,"R$ 4,21",83.71%,in 6 days,8 days ago,Mar 2021
Hero of the Kingdom: The Lost Tales 2,-70%,"R$ 4,34",83.38%,in 6 days,8 days ago,Nov 2021
Sweet F. Cake,-65%,"R$ 6,99",83.32%,in 6 days,8 days ago,May 2020
Curse of the Dead Gods,-65%,"R$ 24,46",83.15%,in 6 days,8 days ago,Feb 2021
Solar Ash,-50%,"R$ 44,99",83.05%,in 6 days,8 days ago,Dec 2022
Rock 'N' Roll Defense,-90%,"R$ 0,57",83.04%,in 6 days,6 days ago,Aug 2016
Colt Canyon,-80%,"R$ 5,79",82.88%,in 6 days,20 days ago,Jun 2020
Timespinner,-70%,"R$ 11,09",82.81%,in 6 days,8 days ago,Sep 2018
Cooking Simulator,-63%,"R$ 14,05",82.68%,in 6 days,8 days ago,Jun 2019
Razortron 2000,-90%,"R$ 0,57",82.66%,in 6 days,6 days ago,Oct 2016
Ultimate Zombie Defense,-75%,"R$ 2,72",82.54%,in 6 days,8 days ago,Dec 2020
Synergia,-60%,"R$ 9,95",82.47%,in 6 days,8 days ago,Jul 2020
Space Run,-80%,"R$ 3,58",82.46%,in 6 days,8 days ago,Jun 2014
Super Monkey Ball Banana Mania,-60%,"R$ 38,98",82.28%,in 6 days,8 days ago,Oct 2021
Zombie Army 4: Dead War,-86%,"R$ 17,66",82.23%,in 6 days,8 days ago,Feb 2021
Chorus,-70%,"R$ 22,79",82.17%,in 6 days,16 days ago,Dec 2021
September 7th,-66%,"R$ 4,92",81.97%,in 6 days,8 days ago,Jan 2023
Brigandine The Legend of Runersia,-50%,"R$ 37,74",81.91%,in 6 days,8 days ago,May 2022
Buggos,-75%,"R$ 8,75",81.80%,in 6 days,8 days ago,Mar 2022
Owlboy,-65%,"R$ 16,09",81.80%,in 6 days,8 days ago,Nov 2016
Love Breakout,-55%,"R$ 1,03",81.71%,in 6 days,8 days ago,Mar 2020
MXGP3 - The Official Motocross Videogame,-90%,"R$ 4,39",81.63%,in 6 days,8 days ago,May 2017
Project: Gorgon,-75%,"R$ 18,87",81.60%,in 6 days,8 days ago,Mar 2018
Little Big Workshop,-75%,"R$ 13,74",81.50%,in 6 days,8 days ago,Oct 2019
Vampires Dawn 3 - The Crimson Realm,-70%,"R$ 9,89",81.46%,in 6 days,8 days ago,May 2021
Serious Sam 4,-80%,"R$ 21,59",81.32%,in 6 days,8 days ago,Sep 2020
"Planes, Bullets and Vodka",-90%,"R$ 0,57",81.19%,in 6 days,6 days ago,Dec 2016
S.H.E.L.T.E.R. - An Apocalyptic Tale,-50%,"R$ 17,49",80.77%,in 6 days,8 days ago,Nov 2021
One Hand Clapping,-67%,"R$ 14,84",80.73%,in 6 days,8 days ago,Dec 2021
The Gunk,-50%,"R$ 23,74",80.68%,in 6 days,20 days ago,Apr 2022
Turbo Golf Racing,-75%,"R$ 9,99",80.55%,in 6 days,8 days ago,Aug 2022
First Strike: Classic,-80%,"R$ 4,79",80.50%,in 6 days,8 days ago,May 2017
Cyberhunt,-90%,"R$ 0,57",80.34%,in 6 days,6 days ago,May 2017
MXGP PRO,-90%,"R$ 5,49",80.28%,in 6 days,8 days ago,Jun 2018
Hentai Asmodeus,-75%,"R$ 1,12",80.28%,in 6 days,8 days ago,Oct 2019
Through the Darkest of Times,-80%,"R$ 5,99",80.25%,in 6 days,8 days ago,Jan 2020
RIDE 3,-90%,"R$ 7,54",80.20%,in 6 days,8 days ago,Nov 2018
Grow: Song of the Evertree,-50%,"R$ 51,95",80.06%,in 6 days,15 days ago,Nov 2021
BLACKTAIL,-50%,"R$ 49,99",80.03%,in 6 days,8 days ago,Dec 2022
